Line Name	Line Synonym	Grain Yield (kg ha -1)	Plant Height (centimeter)	Heading Date (days from planting)	Plump Grain (% by wt on 6/64” sieve )	Grain Protein (kg ha -1)	Stem Length (centimeter)	Kernel Weight (milligram)	Barley Color (&deg;asbc)	Malt Extract (percent)	Wort Color (asbc)	Wort Protein (percent)	Soluble Protein/ Total Protein (percent)	Diastatic Power (&deg;asbc)	Alpha Amylase (20&deg;du)	Malt Beta-glucan (parts per million)	Residual Beta-glucanase (percent)	Beta-glucanase Activity (u/kg malt)	Beta-glucanase Thermostability (u/kg malt)	Check
SEP11-23	07MN-91	6259	86.5	50.5	88.5	13.707271100022	74.5	31.279330734979	76	77.882873521004	1.64	5.06	37.317976141506	174	68.300639854079	174	44.751172823499	458.35854616896	205.12082514735	0
SEP11-33	07MN-92	6542	84.5	51.5	87.4	13.062459459459	76.5	30.763397875496	78	78.895282897473	1.52	5.00	40.800674898382	156	75.010663790387	133	58.365217391304	465.18264840183	271.50486400635	0
SEP11-88	07MN-93	6108	85.5	51.5	77	12.725624327234	77	29.311190185768	77	78.421839379839	1.62	5.26	41.571374394896	175	96.571830806366	86	68.032558820658	409.55617752899	278.63154738105	0
SNB2-21	07MN-94	4758	90.5	51	66	14.261485936142	83	26.045239177493	91	76.807837199677	1.81	4.57	33.95803243781	170	74.427091397439	282	53.791150124726	416.66141732283	224.12696850394	0
SNB2-26	07MN-95	5369	96	51.5	74.6	13.734478110848	88	30.093584102384	83	77.468826448077	1.27	4.71	35.738571643491	185	86.999162718791	195	65.476631975331	384.9750399361	252.06869009585	0
SNB2-56	07MN-96	6048	85.5	48	78.6	13.336518069682	78.5	30.895398250442	79	77.034253371436	2.33	4.35	33.728057648791	166	63.951291507115	236	54.509981469986	428.32267093163	233.47860855658	0
BARONESSE		5435	79.75	54.5	60.4	15.2713304253	70	32.252845425512	82	74.9	1.89	4.11	27.5	99	55.015004757679	423	56.997595119637	359.21933822073	204.74638399049	1
HARRINGTON	SK76333	4096	84	55	68.7	15.244927300347	70.5	29.802866456253	73	78.05981865062	1.59	5.71	38.988149281081	161	92.753901204412	352	66.231344736043	508.91045958796	337.05824088748	1
LACEY	PI613603	4944	87.75	49.75	59.4	13.763825798739	81	28.108936332434	77	77.820138934122	1.49	5.34	39.662989193307	197	72.231694352311	244	61.88227372831	424.1749305831	262.48909163031	1
LEGACY	BT950	4986	91.25	51	62.4	13.734161237785	82	26.851108417254	84	77.013142980312	1.67	5.62	41.612891950311	208	85.619221235266	447	60.4135606759	361.50810917722	218.39992088608	1
MNBRITE	PI603050	4949	92.5	50.5	85.2	14.526370985362	84	30.259636540577	74	77.731288155581	1.75	5.96	42.024913224444	222	78.475525657614	346	--	--	--	1
ROBUST	PI476976	5327	96	50.5	80.2	13.725031263593	87.5	31.415225862697	77	78.58090738392	1.5	5.28	40.231596360629	177	60.181502750622	347	57.825624352877	483.19222419578	279.40892046576	1
STANDER	m64	5060	88.75	49.75	83.9	13.77849726776	81.5	30.441288900807	73	79.016052288956	1.77	5.83	43.828873813377	201	101.21465328346	252	--	--	--	1
STELLAR	STELLAR_ND	5981	89	49.75	86.1	12.639383879781	82	30.851272589706	84	79.175191415429	1.52	5.33	43.273539270489	226	86.07015092793	197	--	--	--	1
TRADITION	06BA-02	5542	88.75	51.25	77	13.869433911159	79	29.005820019358	84	78.175645196566	1.56	4.86	35.682147188857	248	78.325068153656	211	60.887977745625	479.83091306943	292.15933956634	1
Mean		5,229.00	90.3	50.4	65.1	14.33	83.0	29.21	81.6	78.0	1.68	5.2	37.8	195.8	76.95	271.54	59.1	479	283
Standard Error		64.16	0.5	0.1	12.8	0.26	0.5	1.34	2.0	0.5	0.25	0.1	1.2	14.6	7.57	64.09	--	--	--
Number Replicates		2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
Prob > F		0.2498	<.0001	<.0001	--	--	<.0001	--	--	--	--	--	--	--	--	--	--	--	--
